state,year,month,renewable_generation,consumption,surplus_energy
ANDHRA PRADESH,2022,11,32478.569932638882,32583.76426965394,-105.19433701505955
ANDHRA PRADESH,2022,12,42530.87115874585,35723.97585991318,6806.895298832669
ANDHRA PRADESH,2023,1,46129.870938234184,45308.08793774855,821.7830004856376
ANDHRA PRADESH,2023,2,30636.304110874677,29327.509179683995,1308.794931190679
ANDHRA PRADESH,2023,3,37489.082214819085,34234.815194117655,3254.267020701429
ANDHRA PRADESH,2023,4,44772.460059580066,40467.74177880966,4304.7182807704085
ANDHRA PRADESH,2023,5,40083.92257805037,33768.34221488689,6315.580363163476
ANDHRA PRADESH,2023,6,39282.10275674053,38981.873178661735,300.22957807879664
ANDHRA PRADESH,2023,7,47008.349788887,49020.063793520545,-2011.714004633546
ANDHRA PRADESH,2023,8,37088.85977465567,35333.20868915257,1755.6510855031013
ANDHRA PRADESH,2023,9,39784.42866750963,43050.49398352123,-3266.065316011596
ANDHRA PRADESH,2023,10,43747.59911254816,42567.76843913015,1179.8306734180078
ANDHRA PRADESH,2023,11,43315.612036335115,39730.21850344994,3585.393532885171
ANDHRA PRADESH,2023,12,34649.397693239,34551.23803066631,98.1596625726931
ANDHRA PRADESH,2024,1,40074.78123831021,42614.40875867278,-2539.6275203625682
ANDHRA PRADESH,2024,2,37356.928053265954,38249.17782116442,-892.2497678984646
ANDHRA PRADESH,2024,3,44558.71405720297,40591.158945446026,3967.555111756946
ANDHRA PRADESH,2024,4,34772.24234644038,32220.110271378544,2552.132075061834
ANDHRA PRADESH,2024,5,45499.582497122414,44388.17321445327,1111.4092826691399
ANDHRA PRADESH,2024,6,46588.6079519039,48435.73759611237,-1847.1296442084754
ANDHRA PRADESH,2024,7,38249.794793196175,38170.27145926746,79.52333392871651
ANDHRA PRADESH,2024,8,41666.54756511794,42256.1304709258,-589.5829058078614
ANDHRA PRADESH,2024,9,40579.47511372024,39776.962832562516,802.5122811577266
ANDHRA PRADESH,2024,10,37961.88860276105,39793.222552105464,-1831.333949344412
ANDHRA PRADESH,2024,11,33265.1133382654,32179.831096183174,1085.2822420822256
ANDHRA PRADESH,2024,12,54682.95012031744,46158.830816775815,8524.11930354162
ANDHRA PRADESH,2025,1,40980.37107829874,42487.3515835673,-1506.9805052685592
ANDHRA PRADESH,2025,2,35266.2737066585,35939.36922875245,-673.0955220939466
ANDHRA PRADESH,2025,3,41412.89266959569,40460.71740981018,952.1752597855035
ANDHRA PRADESH,2025,4,40866.01439099437,42822.373717864415,-1956.3593268700463
ANDHRA PRADESH,2025,5,43747.11785913907,39238.91854901086,4508.19931012822
ANDHRA PRADESH,2025,6,34285.62288088334,32143.033541457076,2142.589339426266
ANDHRA PRADESH,2025,7,43907.45682925273,44409.95107451702,-502.4942452642804
ANDHRA PRADESH,2025,8,44058.76379821521,44158.0439167892,-99.28011857399088
ANDHRA PRADESH,2025,9,31747.78401077059,33775.34516044619,-2027.5611496755976
ANDHRA PRADESH,2025,10,38196.43821881674,36990.21275691743,1206.225461899303
ANDHRA PRADESH,2025,11,35231.56036401689,36728.51713066806,-1496.956766651169
ANDHRA PRADESH,2025,12,43421.58973187981,42961.90629564188,459.68343623793066
ANDHRA PRADESH,2026,1,49636.037564269536,41149.90580764588,8486.13175662365
ANDHRA PRADESH,2026,2,37608.607303067314,33163.702818589845,4444.904484477473
ANDHRA PRADESH,2026,3,42441.8528943707,39575.71223620679,2866.1406581639067
ANDHRA PRADESH,2026,4,39360.304663860785,34873.36250909898,4486.942154761802
ANDHRA PRADESH,2026,5,32233.948400408346,32646.158744585333,-412.2103441769883
ANDHRA PRADESH,2026,6,45900.668161207635,44127.54187130521,1773.126289902421
ANDHRA PRADESH,2026,7,42663.40526791935,37399.36427116009,5264.040996759254
ANDHRA PRADESH,2026,8,41354.97181548629,42366.10066676947,-1011.1288512831729
ANDHRA PRADESH,2026,9,49065.69934593897,45909.03149716375,3156.667848775219
ANDHRA PRADESH,2026,10,35723.17692611173,33208.263756949505,2514.9131691622265
ANDHRA PRADESH,2026,11,52069.98795714511,47214.21677890456,4855.771178240547
ANDHRA PRADESH,2026,12,50231.40004923478,52023.159454942026,-1791.7594057072483
ANDHRA PRADESH,2027,1,38515.944961579444,39163.23205631733,-647.2870947378813
ANDHRA PRADESH,2027,2,41231.729110036526,35597.87317530358,5633.855934732943
ANDHRA PRADESH,2027,3,38178.7089742072,36416.39026792201,1762.3187062851844
ANDHRA PRADESH,2027,4,43904.84570174857,38300.08896888803,5604.756732860542
ANDHRA PRADESH,2027,5,33705.21633139029,33696.93059890835,8.28573248193959
ANDHRA PRADESH,2027,6,37077.073812660514,34795.78494094184,2281.288871718666
ANDHRA PRADESH,2027,7,33505.28817499079,34622.89199276712,-1117.6038177763332
ANDHRA PRADESH,2027,8,29259.208953289864,31443.14990854585,-2183.940955255984
ANDHRA PRADESH,2027,9,34273.14334675015,36255.667489404805,-1982.524142654656
ANDHRA PRADESH,2027,10,37597.901511520395,42780.02990042439,-5182.128388903999
ANDHRA PRADESH,2027,11,38957.210231327525,39564.847763115074,-607.6375317875493
ANDHRA PRADESH,2027,12,47514.45504552069,42258.158750673625,5256.296294847063
ANDHRA PRADESH,2028,1,34799.19539867255,29176.542884720016,5622.652513952529
ANDHRA PRADESH,2028,2,50681.84133527352,49155.67039713458,1526.1709381389435
ANDHRA PRADESH,2028,3,40201.36747051856,35570.150383154905,4631.217087363661
ANDHRA PRADESH,2028,4,43913.68475667447,39979.96340755608,3933.7213491183875
ANDHRA PRADESH,2028,5,34370.633865492055,30552.50608048862,3818.1277850034344
ANDHRA PRADESH,2028,6,27431.191605546956,28486.62769258959,-1055.4360870426353
ANDHRA PRADESH,2028,7,32080.979213535895,25804.546034583014,6276.433178952879
ANDHRA PRADESH,2028,8,39851.82863563882,38462.08978212486,1389.7388535139603
ANDHRA PRADESH,2028,9,39721.74583602245,38635.72668140858,1086.0191546138644
ANDHRA PRADESH,2028,10,41642.37925677531,38483.945594907345,3158.433661867972
ANDHRA PRADESH,2028,11,42706.91432771758,42750.46851221867,-43.55418450108567
ANDHRA PRADESH,2028,12,36456.714809032535,36319.11191008886,137.60289894367622
ANDHRA PRADESH,2029,1,35929.69879959526,33051.91327988496,2877.785519710298
ANDHRA PRADESH,2029,2,35884.04747405872,35486.02342371789,398.02405034083495
ANDHRA PRADESH,2029,3,36529.70264624663,38716.42912431253,-2186.7264780658984
ANDHRA PRADESH,2029,4,35980.23863692978,36059.97902020208,-79.74038327229528
ANDHRA PRADESH,2029,5,37152.9531355232,36165.216098569894,987.7370369533145
ANDHRA PRADESH,2029,6,37964.19550776577,34701.043043074504,3263.152464691272
ANDHRA PRADESH,2029,7,45438.066584914115,40993.426596286175,4444.639988627938
ANDHRA PRADESH,2029,8,37290.86158169873,34422.077280462414,2868.7843012363132
ANDHRA PRADESH,2029,9,47843.97435468769,44512.85805582024,3331.1162988674587
ANDHRA PRADESH,2029,10,37982.67498173735,37735.22653707149,247.44844466586198
ANDHRA PRADESH,2029,11,38148.487672247866,37054.83853493332,1093.6491373145445
ANDHRA PRADESH,2029,12,39819.69377406098,41828.00722031783,-2008.3134462568469
ANDHRA PRADESH,2030,1,25046.859952302813,26426.434256384273,-1379.57430408146
ANDHRA PRADESH,2030,2,25098.465110641868,24123.359820876587,975.1052897652829
ANDHRA PRADESH,2030,3,41602.92079036313,40097.93024907127,1504.990541291862
ANDHRA PRADESH,2030,4,41741.99640674261,43966.167704052634,-2224.1712973100284
ANDHRA PRADESH,2030,5,36753.65963448433,36933.35062094107,-179.6909864567424
ANDHRA PRADESH,2030,6,37384.20350591861,36493.77582894408,890.4276769745233
ANDHRA PRADESH,2030,7,38438.045894665935,36042.61814100949,2395.4277536564455
ANDHRA PRADESH,2030,8,36715.339649825306,34623.878152924364,2091.4614969009417
ANDHRA PRADESH,2030,9,52796.042494352194,50844.87156812692,1951.1709262252825
ANDHRA PRADESH,2030,10,41439.600037212505,38745.98057368898,2693.6194635235183
ANDHRA PRADESH,2030,11,39340.64157442622,36636.6830431723,2703.9585312539143
ANDHRA PRADESH,2030,12,33723.57271352159,32899.573228284295,823.9994852372948
ANDHRA PRADESH,2031,1,45719.660158182094,45407.83475008162,311.82540810047124
ANDHRA PRADESH,2031,2,29931.024957888618,31822.782776930253,-1891.7578190416334
ANDHRA PRADESH,2031,3,43380.47679681563,42288.97832239091,1091.498474424714
ANDHRA PRADESH,2031,4,41007.9598192432,42319.09511870284,-1311.1352994596423
ANDHRA PRADESH,2031,5,39313.8867715338,39757.64226766731,-443.7554961335128
ANDHRA PRADESH,2031,6,46337.35358336679,47515.50102614391,-1178.1474427771172
ANDHRA PRADESH,2031,7,42764.2876748464,39413.17784933398,3351.1098255124157
ANDHRA PRADESH,2031,8,32810.43988053885,32618.506634754212,191.93324578463944
ANDHRA PRADESH,2031,9,47932.54663299559,43997.94790911018,3934.598723885406
ANDHRA PRADESH,2031,10,25277.770221011153,31151.414885226204,-5873.644664215054
ANDHRA PRADESH,2031,11,35261.40986342168,36011.45012019728,-750.0402567756067
ANDHRA PRADESH,2031,12,41351.77981916309,39291.99174996082,2059.7880692022763
ANDHRA PRADESH,2032,1,49373.53651276473,45103.13204631971,4270.404466445018
ANDHRA PRADESH,2032,2,39980.431415903004,39145.44683948412,834.9845764188867
ANDHRA PRADESH,2032,3,35273.449610752854,42692.21142399175,-7418.7618132389025
ANDHRA PRADESH,2032,4,32399.929614871577,28715.619193103288,3684.310421768291
ANDHRA PRADESH,2032,5,31626.537333459455,34908.836846154736,-3282.2995126952846
ANDHRA PRADESH,2032,6,41806.72232855981,41623.969001514044,182.75332704576044
ANDHRA PRADESH,2032,7,27699.941193711136,28475.31393431311,-775.3727406019784
ANDHRA PRADESH,2032,8,35575.203769333006,34693.861987221506,881.3417821115024
ANDHRA PRADESH,2032,9,42426.73979861036,38320.782006813875,4105.957791796483
ANDHRA PRADESH,2032,10,31057.03993224334,33808.42815219325,-2751.3882199499094
ANDHRA PRADESH,2032,11,45028.16888707572,40033.26721391651,4994.9016731592155
ANDHRA PRADESH,2032,12,37559.38675472521,36858.285193290016,701.1015614351891
ANDHRA PRADESH,2033,1,41058.75655632667,40402.99880516942,655.7577511572488
ANDHRA PRADESH,2033,2,41022.197205949924,37651.45981498894,3370.737390960981
ANDHRA PRADESH,2033,3,50794.38022601543,51138.799966361956,-344.41974034651815
ANDHRA PRADESH,2033,4,31595.196765873476,33804.75663860726,-2209.5598727337815
ANDHRA PRADESH,2033,5,50969.05114214333,42805.558037990115,8163.493104153218
ANDHRA PRADESH,2033,6,43542.31952150486,43015.40552171725,526.9139997876165
ANDHRA PRADESH,2033,7,42655.23886027073,42746.581171074,-91.34231080327504
ANDHRA PRADESH,2033,8,42608.182894530226,42325.6566767313,282.52621779892326
ANDHRA PRADESH,2033,9,42942.42466087462,41610.001767686146,1332.422893188475
ANDHRA PRADESH,2033,10,43791.70125072532,42095.408645163356,1696.292605561957
ANDHRA PRADESH,2033,11,37421.9119922856,34505.847547780446,2916.0644445051475
ANDHRA PRADESH,2033,12,43488.82598748006,39087.97599592076,4400.849991559292
ANDHRA PRADESH,2034,1,43747.745172503855,44701.011031559836,-953.2658590559852
ANDHRA PRADESH,2034,2,44637.6054551535,45498.779821548036,-861.1743663945367
ANDHRA PRADESH,2034,3,36613.27920255683,38204.03400259146,-1590.7548000346378
ANDHRA PRADESH,2034,4,44502.39299557816,43698.69790237326,803.6950932048978
ANDHRA PRADESH,2034,5,48500.89223522759,45037.266234570074,3463.6260006575135
ANDHRA PRADESH,2034,6,42302.03350181017,45441.29843637224,-3139.2649345620716
ANDHRA PRADESH,2034,7,43363.36888277844,38882.60073440078,4480.768148377655
ANDHRA PRADESH,2034,8,38517.06767925033,38671.25746713901,-154.189787888684
ANDHRA PRADESH,2034,9,34021.46966221588,36925.07843435126,-2903.6087721353797
ANDHRA PRADESH,2034,10,37877.84079627045,38647.718202117656,-769.877405847207
ANDHRA PRADESH,2034,11,39316.27006655118,40187.72764676009,-871.4575802089118
ANDHRA PRADESH,2034,12,29831.949776237747,26845.923764363004,2986.026011874744
ANDHRA PRADESH,2035,1,41297.9207445768,35721.000399307624,5576.920345269173
ANDHRA PRADESH,2035,2,33664.92206288022,33236.41809475864,428.5039681215826
ANDHRA PRADESH,2035,3,47757.50840688201,48185.1403313255,-427.63192444349056
ANDHRA PRADESH,2035,4,43642.13281367439,42405.04797704498,1237.0848366294135
ANDHRA PRADESH,2035,5,45123.19880526667,41094.640497491535,4028.5583077751376
ANDHRA PRADESH,2035,6,33615.244148980135,34827.140953927184,-1211.8968049470475
ANDHRA PRADESH,2035,7,29309.753297380088,30069.819184619657,-760.0658872395686
ANDHRA PRADESH,2035,8,39169.58371632986,40284.318812105856,-1114.7350957759975
ANDHRA PRADESH,2035,9,45612.20547103537,42030.64876467677,3581.5567063586004
ANDHRA PRADESH,2035,10,37616.472581715476,38122.37044053104,-505.89785881556804
ANDHRA PRADESH,2035,11,41821.043152087725,42393.981774956475,-572.9386228687513
ANDHRA PRADESH,2035,12,42871.66079795299,39323.34144261759,3548.3193553353995
ANDHRA PRADESH,2036,1,35378.3006052857,36711.6858678603,-1333.385262574603
ANDHRA PRADESH,2036,2,41430.69733270042,35922.91474201351,5507.782590686912
ANDHRA PRADESH,2036,3,45938.78660463023,47266.90729393098,-1328.1206893007534
ANDHRA PRADESH,2036,4,41938.51561957782,39793.23887839002,2145.276741187802
ANDHRA PRADESH,2036,5,35140.77440553098,37240.69057314506,-2099.916167614079
ANDHRA PRADESH,2036,6,35323.54350327882,31684.68929406684,3638.854209211981
ANDHRA PRADESH,2036,7,31423.469408648292,34475.216841891226,-3051.7474332429383
ANDHRA PRADESH,2036,8,44538.49253024555,43575.45863310137,963.0338971441832
ANDHRA PRADESH,2036,9,38574.362750248714,36395.76242842238,2178.6003218263413
ANDHRA PRADESH,2036,10,37685.72014745505,35769.72804053001,1915.9921069250386
ANDHRA PRADESH,2036,11,44309.2934165273,35448.15606070037,8861.137355826928
ANDHRA PRADESH,2036,12,41840.01324105486,41415.002071731695,425.0111693231637
ANDHRA PRADESH,2037,1,38503.695033343516,38366.2243395071,137.47069383641815
ANDHRA PRADESH,2037,2,42715.66252714842,45142.328333440615,-2426.6658062921942
ANDHRA PRADESH,2037,3,29028.04344286652,30665.51020770616,-1637.4667648396419
ANDHRA PRADESH,2037,4,37610.4731780386,38356.38393833886,-745.9107603002623
ANDHRA PRADESH,2037,5,44213.3866391065,43424.85386322513,788.5327758813773
ANDHRA PRADESH,2037,6,43578.60653298061,45835.573955395106,-2256.967422414501
ANDHRA PRADESH,2037,7,43710.918604566956,41502.76860157313,2208.1500029938234
ANDHRA PRADESH,2037,8,31511.153140562285,27567.70546292058,3943.4476776417027
ANDHRA PRADESH,2037,9,49020.66489514605,44057.55346763462,4963.111427511438
ANDHRA PRADESH,2037,10,48353.176165505676,43157.95531427674,5195.220851228939
ANDHRA PRADESH,2037,11,45480.77164768178,43420.13496466054,2060.636683021246
ANDHRA PRADESH,2037,12,48585.59641957995,41016.83192605038,7568.7644935295775
ANDHRA PRADESH,2038,1,43517.74838194176,36076.67989990719,7441.0684820345705
ANDHRA PRADESH,2038,2,29701.466272490285,31206.464635290486,-1504.998362800201
ANDHRA PRADESH,2038,3,29201.755861790545,32168.602354814422,-2966.8464930238747
ANDHRA PRADESH,2038,4,35993.980342603776,34680.689595913616,1313.290746690158
ANDHRA PRADESH,2038,5,54881.83846648249,49743.22016756588,5138.6182989166045
ANDHRA PRADESH,2038,6,40760.8428927732,37461.71971327769,3299.1231794955133
ANDHRA PRADESH,2038,7,42162.87031587689,40640.625070034825,1522.2452458420626
ANDHRA PRADESH,2038,8,35969.57107660738,38090.577719664405,-2121.0066430570196
ANDHRA PRADESH,2038,9,36174.77440477897,40207.20696871419,-4032.4325639352282
ANDHRA PRADESH,2038,10,35687.44121500319,37695.3199940647,-2007.8787790615095
ANDHRA PRADESH,2038,11,45747.813286618024,44008.396884522976,1739.4164020950557
ANDHRA PRADESH,2038,12,39508.43577041151,36255.65300105237,3252.7827693591425
ANDHRA PRADESH,2039,1,34576.713124708775,38439.56002061614,-3862.8468959073602
ANDHRA PRADESH,2039,2,30050.309551548657,28988.94133816472,1061.3682133839357
ANDHRA PRADESH,2039,3,43011.500075769414,39375.30462673199,3636.195449037423
ANDHRA PRADESH,2039,4,36830.95644212427,33783.17409126197,3047.7823508622973
ANDHRA PRADESH,2039,5,31215.588742718563,36933.4759114679,-5717.887168749335
ANDHRA PRADESH,2039,6,42086.36671666086,32037.656900336024,10048.709816324837
ANDHRA PRADESH,2039,7,39451.859490477305,42591.3498921443,-3139.490401667001
ANDHRA PRADESH,2039,8,38981.05218706562,41748.17399657473,-2767.12180950911
ANDHRA PRADESH,2039,9,40934.518674058316,37669.42183826365,3265.0968357946604
ANDHRA PRADESH,2039,10,48102.93438490987,45415.110028260926,2687.824356648943
ANDHRA PRADESH,2039,11,26413.908363651437,29362.418183964975,-2948.5098203135385
ANDHRA PRADESH,2039,12,46907.14099506236,43163.69340784849,3743.447587213863
ANDHRA PRADESH,2040,1,42825.26735987014,42038.77865388325,786.4887059868909
ANDHRA PRADESH,2040,2,33593.394160053926,29721.701517324695,3871.692642729233
ANDHRA PRADESH,2040,3,34681.886485219475,35625.58581004875,-943.6993248292825
ANDHRA PRADESH,2040,4,38155.45742257335,41158.86351030168,-3003.406087728321
ANDHRA PRADESH,2040,5,38741.10227404545,41808.44626547923,-3067.3439914337787
ANDHRA PRADESH,2040,6,36289.47385387675,37354.851883333664,-1065.3780294569165
ANDHRA PRADESH,2040,7,45537.695550702476,40217.14070146887,5320.554849233609
ANDHRA PRADESH,2040,8,36181.41377465388,39029.47868126811,-2848.0649066142278
ANDHRA PRADESH,2040,9,46404.34328590763,41801.16205599567,4603.181229911955
ANDHRA PRADESH,2040,10,35153.171593570485,33580.43866077902,1572.73293279146
ANDHRA PRADESH,2040,11,43665.66399914093,38819.81083106478,4845.85316807615
ANDHRA PRADESH,2040,12,40124.03001416603,38632.140052367424,1491.8899617986017
ANDHRA PRADESH,2041,1,42230.49947130311,45976.81031872849,-3746.310847425374
ANDHRA PRADESH,2041,2,42704.86811350513,42128.81624364944,576.0518698556912
ANDHRA PRADESH,2041,3,31131.147688384248,32060.236461573317,-929.0887731890682
ANDHRA PRADESH,2041,4,35313.765187415396,35354.14331216922,-40.37812475382162
ANDHRA PRADESH,2041,5,31968.4129721002,37521.56973403164,-5553.156761931441
ANDHRA PRADESH,2041,6,40213.37785957534,41552.73812699994,-1339.3602674246013
ANDHRA PRADESH,2041,7,40427.37562584586,42276.896589836615,-1849.5209639907584
ANDHRA PRADESH,2041,8,43761.8903718746,40059.69525421044,3702.1951176641564
ANDHRA PRADESH,2041,9,46410.059121226484,41580.926185322896,4829.1329359035835
ANDHRA PRADESH,2041,10,48471.30120193163,47045.9705574124,1425.330644519225
ANDHRA PRADESH,2041,11,35432.823395109415,35820.49865057298,-387.6752554635631
ANDHRA PRADESH,2041,12,47573.08985336689,38325.52479191013,9247.56506145676
ANDHRA PRADESH,2042,1,45173.82100130116,41158.584503717415,4015.236497583752
ANDHRA PRADESH,2042,2,34510.87190241484,29080.25664544987,5430.615256964968
ANDHRA PRADESH,2042,3,44427.070627520334,48915.20729940548,-4488.1366718851505
ANDHRA PRADESH,2042,4,50189.45543893968,49168.16392548256,1021.2915134571247
ANDHRA PRADESH,2042,5,33517.083633188435,35552.6065314203,-2035.5228982318617
ANDHRA PRADESH,2042,6,49525.762218815515,44156.45927662482,5369.302942190695
ANDHRA PRADESH,2042,7,37534.77070108983,31632.781155529123,5901.989545560704
ANDHRA PRADESH,2042,8,44579.29593111691,43716.76037914599,862.5355519709195
ANDHRA PRADESH,2042,9,57097.12718054684,47575.34776693451,9521.779413612334
ANDHRA PRADESH,2042,10,30418.99007649206,34131.81814474725,-3712.8280682551913
BIHAR,2020,1,37421.53094893474,40486.657035056436,-3065.1260861216947
BIHAR,2020,2,50298.80139163526,44214.102844878675,6084.698546756583
BIHAR,2020,3,36035.13443884359,36630.47619569743,-595.3417568538415
BIHAR,2020,4,39753.97317578358,34559.42542702137,5194.54774876221
BIHAR,2020,5,34153.9104068349,35459.828208518484,-1305.9178016835879
BIHAR,2020,6,34679.846166728676,38249.42654365883,-3569.580376930153
BIHAR,2020,7,44128.020023959594,37974.203230878695,6153.816793080898
BIHAR,2020,8,37356.293892311776,39536.20397473195,-2179.910082420174
BIHAR,2020,9,29944.72089308914,32843.88817430368,-2899.1672812145416
BIHAR,2020,10,48736.94946090694,48621.86734032132,115.08212058562015
BIHAR,2020,11,41212.36400271084,39365.253196379854,1847.1108063309873
BIHAR,2020,12,44178.3378837076,38279.618649435,5898.719234272608
BIHAR,2021,1,43346.7657051139,42003.449663134576,1343.3160419793303
BIHAR,2021,2,23100.755282893595,25668.490404504428,-2567.735121610831
BIHAR,2021,3,37849.24443747143,34634.050063874085,3215.194373597342
BIHAR,2021,4,31874.257924907724,32176.49715432693,-302.2392294192048
BIHAR,2021,5,35882.727395834874,37023.6771682185,-1140.949772383628
BIHAR,2021,6,47130.954637966955,48355.435608769585,-1224.480970802631
BIHAR,2021,7,36161.43953530649,39523.59060057387,-3362.1510652673787
BIHAR,2021,8,46173.83788342178,48383.4590712475,-2209.6211878257154
BIHAR,2021,9,42964.13173580581,40158.92546111559,2805.2062746902106
BIHAR,2021,10,38116.38846983111,36954.374259402546,1162.0142104285571
BIHAR,2021,11,43322.94062360486,40436.38828226736,2886.552341337499
BIHAR,2021,12,44271.221876582116,42322.44496360338,1948.7769129787316
BIHAR,2022,1,36027.8168062561,35436.87634164882,590.9404646072787
BIHAR,2022,2,30929.662716360668,30113.424597605725,816.2381187549444
BIHAR,2022,3,41700.53633779239,44812.590893249246,-3112.054555456858
BIHAR,2022,4,39509.91329249385,42084.91378092372,-2575.0004884298687
BIHAR,2022,5,39091.190672629724,40143.320299769155,-1052.129627139428
BIHAR,2022,6,45093.73473737519,48251.548639868306,-3157.8139024931133
BIHAR,2022,7,37618.342144422044,39020.61752858133,-1402.2753841592867
BIHAR,2022,8,41326.30244912535,46818.1417642144,-5491.839315089047
BIHAR,2022,9,44679.286499270995,41766.98456773828,2912.3019315327238
BIHAR,2022,10,47876.38920323187,47336.76510542865,539.6240978032221
BIHAR,2022,11,35749.31492124941,35470.28408378849,279.03083746092346
BIHAR,2022,12,43794.016941190144,41194.96704276015,2599.0498984299966
BIHAR,2023,1,31848.688696915302,29087.251778053935,2761.4369188613655
BIHAR,2023,2,31748.32340613856,37049.159678637705,-5300.836272499143
BIHAR,2023,3,42636.809876761596,45341.84721343946,-2705.0373366778663
BIHAR,2023,4,38453.603686226714,37566.40189804434,887.2017881823699
BIHAR,2023,5,37762.53212562294,40963.92278156466,-3201.3906559417146
BIHAR,2023,6,32977.718509601014,34516.73473287458,-1539.016223273567
BIHAR,2023,7,39811.353710284006,37738.39468864103,2072.9590216429806
BIHAR,2023,8,52409.87283435283,43016.21323280752,9393.65960154531
BIHAR,2023,9,42719.351888056524,37974.87434886301,4744.477539193513
BIHAR,2023,10,47061.40617284232,46653.56938174596,407.8367910963542
BIHAR,2023,11,51529.01405594567,42987.03505462802,8541.979001317655
BIHAR,2023,12,32579.453075739264,28250.60005945178,4328.853016287487
BIHAR,2024,1,48283.37094614384,41024.83296620515,7258.5379799387
BIHAR,2024,2,30277.165350203024,33170.86569734937,-2893.7003471463454
BIHAR,2024,3,40699.31227168419,38485.94785554342,2213.3644161407765
BIHAR,2024,4,32174.17039117815,30968.055231294577,1206.1151598835743
BIHAR,2024,5,42354.35396535695,36713.97095618319,5640.38300917376
BIHAR,2024,6,47366.168960661846,46151.79755844845,1214.371402213394
BIHAR,2024,7,36597.58535201345,34828.76842463295,1768.8169273804976
BIHAR,2024,8,39436.04838887164,36993.01821694513,2443.0301719265153
BIHAR,2024,9,31417.058584914106,32861.78362174962,-1444.7250368355128
BIHAR,2024,10,40246.381942776934,36769.85749425793,3476.524448519004
BIHAR,2024,11,33193.21369517885,35390.35022427545,-2197.136529096598
BIHAR,2024,12,36763.4745566509,36459.020843635204,304.45371301569753
BIHAR,2025,1,50386.26652741786,45664.22179818826,4722.0447292296
BIHAR,2025,2,46238.42817860916,37869.82727012165,8368.60090848751
BIHAR,2025,3,34896.308068237224,35955.50056448531,-1059.1924962480794
BIHAR,2025,4,39221.324234544,39526.54912814735,-305.2248936033551
BIHAR,2025,5,47089.85809852835,42665.9859817792,4423.872116749143
BIHAR,2025,6,39586.902443660925,39364.01859564866,222.8838480122672
BIHAR,2025,7,41750.85217533361,37690.20827678364,4060.643898549973
BIHAR,2025,8,33049.91260882143,30330.23502664091,2719.6775821805204
BIHAR,2025,9,42404.23625045323,43041.43130833768,-637.1950578844478
BIHAR,2025,10,37660.95027600315,34589.647521714665,3071.3027542884793
